,BGC,CAC,CMC,CMR,CRC,EVC,GBC,GFR,GLF,MWC,PBC,RHC,RWR,SCR,SDC,TOC,WVC,WVR
aelosoma,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
amphichaeta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
chaetogaster,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1
dero,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
haemopis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
helobdella,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nais,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
pristina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rhyacodrilus,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
slavina,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
stylaria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tubifex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
